Company,Business Category,Main Sport Focus,Year Founded,Financials,Ownership Status,Ownership Details,Parent Company,Headquarters,Main Manufacturing,Environmental & Sustainability Policies,Acquisition History
Heather's Choice,"Heather's Choice specializes in producing dehydrated meals and snacks tailored for outdoor activities such as hiking, offering lightweight, nutritious, and packable food options. ([linkedin.com](https://www.linkedin.com/company/heatherschoice))",Hiking,2014,Not Available,Private - Venture Backed,"Heather's Choice is a privately held company founded and led by Heather Kelly, who serves as the CEO. The company has received investments from entities such as The Eyak Corporation, Oregon Sports Angels, 49th State Angel Fund, Bend Outdoor Worx, Camber Outdoors, and Launch Alaska. ([eyakcorporation.com](https://www.eyakcorporation.com/about-us/news-resources/11-news/27-the-eyak-corporation-invests-in-heather-s-choice), [pitchbook.com](https://pitchbook.com/profiles/company/188068-42))",Independent,"## [Heather's Choice](https://www.google.com/maps/search/Heather%27s+Choice+Anchorage%2C+AK)


Heather's Choice is headquartered in Anchorage, Alaska. The company has operated from multiple addresses within Anchorage, including 5881 Arctic Boulevard Unit 100 and 700 W 59th Ave Unit C. ([pitchbook.com](https://pitchbook.com/profiles/company/188068-42), [heatherschoicewholesale.dearportal.com](https://heatherschoicewholesale.dearportal.com/Page/9ed3233a-4134-4ba5-a020-819af3b0699e)) In January 2024, plans were announced to relocate the headquarters to Ashland, Oregon. ([rv-times.com](https://rv-times.com/2024/01/28/adventure-meal-business-featured-on-shark-tank-plans-move-to-ashland-2/)) As of July 2025, the current headquarters location is not confirmed.","Heather's Choice manufactures its dehydrated meals and snacks in a dedicated gluten-free kitchen located at 5881 Arctic Boulevard, Unit 100, Anchorage, Alaska, 99518. ([pitchbook.com](https://pitchbook.com/profiles/company/188068-42))",,"Heather's Choice has not been acquired by another company. In 2019, The Eyak Corporation invested in Heather's Choice, but no acquisitions have occurred. ([eyakcorporation.com](https://www.eyakcorporation.com/about-us/news-resources/11-news/27-the-eyak-corporation-invests-in-heather-s-choice))"
Helinox,"Helinox specializes in designing and manufacturing lightweight, portable outdoor furniture, including chairs, tables, and cots, catering to campers and outdoor enthusiasts. ([helinox-hcc.com](https://helinox-hcc.com/pages/about-helinox))",Camping,2009,Not Available,Private - Private Equity,"Helinox is owned by DAC (Dongah Aluminum Co., Ltd.), a South Korean company specializing in aluminum technology. ([oicompass.com](https://www.oicompass.com/legal-and-institutional/helinox-the-korean-brand-of-tents-and-camping-furniture-has-/63381.article))","DAC (Dongah Aluminum Co., Ltd.)","## [Helinox Headquarters](https://www.google.com/maps/search/39+Hannam-daero%2C+Yongsan-gu%2C+Seoul%2C+South+Korea)


Helinox's headquarters is located in Seoul, South Korea. ([al.linkedin.com](https://al.linkedin.com/company/helinox))",Helinox manufactures its frames in South Korea and its seats and carry-cases in Vietnam. ([helinox.gorgias.help](https://helinox.gorgias.help/en-US/product-faqs-215517)),"Helinox is committed to sustainability by using recycled materials, implementing eco-friendly manufacturing processes, and offering repair options to extend product life. ([helinox-hcc.com](https://helinox-hcc.com/pages/helinox-and-environment)) They have pledged to halve greenhouse gas emissions by 2030 and achieve net-zero emissions by 2050. ([outdoor-insight.co.uk](https://www.outdoor-insight.co.uk/news/helinox-embraces-carbon-reduction-with-sme-climate-commitment/))","In July 2021, IMM Investment acquired a 22% stake in Helinox for $36 million. ([app.mergerlinks.com](https://app.mergerlinks.com/transactions/2021-07-14-helinox/dealmakers))"
High Tail Designs,"High Tail Designs specializes in ultralight hiking gear, including fanny packs, stuff sacks, and rain mitts, featuring bold colors and playful designs. ([garagegrowngear.com](https://www.garagegrowngear.com/en-cz/blogs/brand-bios/high-tail-designs-ultralight-thru-hiking-gear))",Hiking,2018,Not Available,,"High Tail Designs was founded by Conor ""Dos Eggrolls"" Brown in 2018 in Philadelphia, Pennsylvania. ([hightaildesigns.com](https://hightaildesigns.com/products/high-tail-logo-sticker)) The company specializes in ultralight, high-quality outdoor gear, featuring unique designs created through collaborations with artists. ([no-w.com.tw](https://www.no-w.com.tw/pages/HighTailDesigns))",Independent,"Huntingdon Valley, Pennsylvania","High Tail Designs manufactures its products in Philadelphia, Pennsylvania. ([gearrover.shop](https://www.gearrover.shop/products/high-tail-designs-drawstring-stuff-sack-pink-lemonade))",,No information is available regarding the acquisition history of High Tail Designs in the hiking industry.
Hillsound,"Hillsound Equipment Inc. is a Vancouver-based manufacturer specializing in outdoor accessories, including traction devices and gaiters, designed to enhance safety and performance in activities like hiking and mountaineering. ([hillsound.com](https://hillsound.com/pages/mission))",Mountaineering,2007,Not Available,Private,"Hillsound Equipment Inc., based in Vancouver, British Columbia, is led by President and Board Member Chang Sun Kang. ([dnb.com](https://www.dnb.com/business-directory/company-profiles.hillsound_equipment_inc.8955ac8aa9a6cdc349029dadf587e2fe.html)) Specific ownership details beyond this are not publicly disclosed.",Independent,"Vancouver, British Columbia","Hillsound Equipment Inc., based in Vancouver, British Columbia, specializes in manufacturing outdoor gear such as traction devices and gaiters. ([cityvancouverbc.ca](https://www.cityvancouverbc.ca/business/hillsound-equipment-inc)) Specific details about their main manufacturing location are not publicly disclosed.","Hillsound Equipment emphasizes sustainability by using bluesign®-certified materials, eliminating plastic packaging, and offering repair services to extend product life. In 2021, they joined prAna's Responsible Packaging Movement to eliminate plastic and virgin forest fibers from their supply chain. ([hillsound.com](https://hillsound.com/pages/sustainability), [outdoorindustry.org](https://outdoorindustry.org/press-release/hillsound-equipment-joins-responsible-packaging-movement/))","Hillsound Equipment, founded in 2007 in Vancouver, British Columbia, has not been involved in any acquisitions to date. ([withremark.com](https://www.withremark.com/blog/hillsound-equipment))"
Hilltop Packs,"Hilltop Packs specializes in creating ultralight and ultra-custom backpacking and hiking accessories, including personalized backpacks, fanny packs, dry bags, and more. ([visitgreene.org](https://visitgreene.org/explore/4130/hilltop-packs/))",Hiking,2019,Not Available,Private - Family Owned,"Hilltop Packs is a family-owned business based in Waynesburg, Pennsylvania, specializing in ultralight and customized hiking gear. Founded in 2019 by Ben McMillen, who serves as the owner, the company also involves his wife, Kailee McMillen, overseeing HR and payroll, and his brother, Brandon McMillen, as the business-to-business manager. ([hilltoppacks.com](https://hilltoppacks.com/pages/about-hilltop-packs))",Independent,"## [Hilltop Packs](https://www.google.com/maps/search/Hilltop+Packs+Waynesburg%2C+Pennsylvania)


Waynesburg, Pennsylvania","Hilltop Packs manufactures all its ultralight and custom hiking products in-house at their facility located at 1006 E Greene Street, Waynesburg, Pennsylvania. ([hilltoppacks.com](https://hilltoppacks.com/pages/about-hilltop-packs))","Hilltop Packs, based in Waynesburg, PA, emphasizes sustainability through initiatives like the ""Good Humans Regear Project,"" which upcycles durable materials such as retired billboard fabrics and coffee bean sacks into outdoor gear, reducing waste and environmental impact. ([hilltoppacks.com](https://hilltoppacks.com/blogs/news/good-humans-regear-project?srsltid=AfmBOooHMZ0EEIrS2psImju_ZQXu8J6TYWRPv9ozj6rYfdrcVS1zDux-&utm_source=openai)) Additionally, their ""I AGREE"" terms encourage customers to follow ""Leave No Trace"" principles, promoting responsible outdoor practices. ([hilltoppacks.com](https://hilltoppacks.com/pages/i-agree))","Hilltop Packs, founded in 2019 by Ben McMillen in Waynesburg, Pennsylvania, is a family-owned business specializing in ultralight and highly customized hiking and backpacking gear. There is no publicly available information indicating that Hilltop Packs has been involved in any acquisitions or has been acquired by another company. ([hilltoppacks.com](https://hilltoppacks.com/pages/about-hilltop-packs))"
Holey Hiker,Holey Hiker specializes in manufacturing portable bidets designed for backpacking and hiking enthusiasts. ([paulbogush1.wixsite.com](https://paulbogush1.wixsite.com/website)),Hiking,2021,Not Available,Private,"Holey Hiker, specializing in portable bidets for backpackers, is owned by Paul David Bogush. ([trademarks.justia.com](https://trademarks.justia.com/989/32/holey-hiker-98932432.html))",Independent,,"Holey Hiker, founded by Paul Bogush, manufactures ultralight portable bidets for hikers and campers. Initially using 3D printing, the company transitioned to injection molding, partnering with a family-run factory near Bogush's home to produce the bidets. ([garagegrowngear.com](https://www.garagegrowngear.com/en-ax/blogs/brand-bios/holey-hiker-the-tale-of-a-teacher-turned-bidet-baron))",,No information is available regarding the acquisition history of Holey Hiker.
Huppy,"Huppy operates in the oral care industry, specializing in sustainable toothpaste tablets. ([dtcetc1.webflow.io](https://dtcetc1.webflow.io/brand/huppy))",Hiking,2013,Not Available,Private - Venture Backed,"Huppy, a company specializing in plastic-free toothpaste tablets, was co-founded by David Phan and Cathy Tran in 2019. ([pitchbook.com](https://pitchbook.com/profiles/company/454274-92)) The company is privately held and has received investments from Target Accelerator and Short List Capital. ([pitchbook.com](https://pitchbook.com/profiles/company/454274-92))",Independent,"Huppybar, a company associated with hiking, is headquartered in Flagstaff, Arizona. ([huppybar.com](https://www.huppybar.com/pages/the-story))","Huppy Bar, founded by river guide Lyndsay Hupp in 2013, produces gluten-free energy bars in Flagstaff, Arizona. ([garagegrowngear.com](https://www.garagegrowngear.com/en-au/blogs/brand-bios/how-huppy-gluten-free-energy-bar-started-with-an-accident)) The company offers various flavors, including Chocolate Berry Love and Coconut Date Ginger. ([huppybar.com](https://www.huppybar.com/))","Huppy is a sustainability-focused oral care brand that produces toothpaste tablets as a plastic-free alternative to traditional toothpaste tubes. Their products feature nearly 100% compostable packaging, including backyard compostable shipping boxes and refill pouches made from wood cellulose, with the only non-biodegradable component being the aluminum refill container designed for indefinite reuse. Huppy sources sustainable, non-toxic ingredients, such as RSPO-certified magnesium stearate, and utilizes 100% Mosu bamboo for toothbrushes, with bristles made from castor bean oil. The company also donates 2% of its profits to sustainability initiatives. ([shiftinggaia.com](https://www.shiftinggaia.com/brand-directory/huppy))","Huppybar, founded by Lyndsay Hupp in the Grand Canyon, is now under new management, but specific details about its acquisition history are not publicly available. ([huppybar.com](https://www.huppybar.com/pages/the-story))"
HydroBlu,"HydroBlu specializes in manufacturing personal water filtration systems designed for outdoor activities such as hiking, camping, and backpacking. ([hydroblu.com](https://hydroblu.com/about-us/))",Hiking,,Not Available,Subsidiary,"HydroBlu, a personal water filter company based in Utah, was acquired by Hoggan Scientific in 2019. ([theprepared.com](https://theprepared.com/forum/thread/is-hydroblu-still-a-viable-company-with-good-products-amazon-reviews-are-terrible/))",Hoggan Scientific,"Salt Lake City, Utah. ([hydroblu.com](https://hydroblu.com/dealers/))","HydroBlu, founded in Utah, USA, designs its water filtration products, while manufacturing is conducted in China. ([hydroblu.com](https://hydroblu.com/about-us/), [en.aventurenordique.com](https://en.aventurenordique.com/hydroblu-versa-flow-inline-water-filter.html))","HydroBlu's environmental and sustainability policies are not explicitly detailed in the available sources. However, the company emphasizes providing clean drinking water through advanced filtration technologies, such as Blocked Activated Carbon (BAC) filters, which remove contaminants and improve water quality. ([prweb.com](https://www.prweb.com/releases/HydroBlu_Offers_Safe_Drinking_Water_Using_Blocked_Activated_Carbon_Technology/prweb18648940.htm)) Additionally, HydroBlu has engaged in humanitarian efforts, including supplying water filters to communities in Haiti to enhance access to safe drinking water. ([hydroblu.com](https://hydroblu.com/blog/helping-3-million-haitians-get-clean-water/))",No information regarding the acquisition history of HydroBlu in the hiking industry is available.
HYKLYF,"HYKLYF specializes in ultralight hiking gear, offering products such as bowls, plates, dog gear, hydration solutions, plastic containers, and water containers. ([garagegrowngear.com](https://www.garagegrowngear.com/collections/hyklyf))",Hiking,2021,Not Available,,HYKLYF is a company specializing in hydration accessories for hikers. ([sectionhiker.com](https://sectionhiker.com/cottage-gear-manufacturer-directory/)) Specific ownership details are not publicly available.,HYKLYF is an independent company.,,"HYKLYF, established in 2021 and based in Placerville, California, specializes in ultralight hydration accessories and outdoor gear. ([garagegrowngear.com](https://www.garagegrowngear.com/en-no/products/pika-bowl-by-hyklyf))",,HYKLYF is a company specializing in hydration accessories. ([sectionhiker.com](https://sectionhiker.com/cottage-gear-manufacturer-directory/)) No information regarding its acquisition history is available.
Hyperlite Mountain Gear,"Hyperlite Mountain Gear specializes in manufacturing ultralight, durable backpacks, shelters, and accessories designed for hiking and other outdoor activities. ([dyneema.com](https://www.dyneema.com/sectors/sports-and-consumer-products/enabling-ultra-light-hiking-gear-with-hyperlite))",Hiking,2010,Not Available,Privately - Venture Backed,Raised $1.1 M venture funding (2018),Independent,"Biddeford, Maine, USA&#8203;:contentReference[oaicite:30]{index=30}","Biddeford, Maine, USA&#8203;:contentReference[oaicite:31]{index=31}",Made in USA; durable ultralight materials,"Hyperlite Mountain Gear has not been acquired; it remains an independent company. However, it has secured several investments:

- In 2014, it received equity capital from The Maine Venture Fund, Telluride Venture Fund, and private investors. ([sgbonline.com](https://sgbonline.com/hyperlite-mountain-gear-raises-equity-capital-secures-bank-loan/))

- In 2015, it raised $1.13 million from 14 investors, including the Maine Venture Fund, CEI Ventures, and Telluride Venture Fund. ([mainebiz.biz](https://www.mainebiz.biz/article/biddeford-manufacturer-hyperlite-mountain-gear-secures-113-million-investment))

- In 2018, it completed a $1.1 million early series round of financing, co-led by CEI Ventures, Telluride Venture Fund, and Maine Venture Fund. ([mainebiz.biz](https://www.mainebiz.biz/article/hyperlite-mountain-gear-raises-11m-in-early-stage-venture-capital))

- In 2021, it secured an investment from New York-based T-street Capital LLC. ([mainebiz.biz](https://www.mainebiz.biz/article/biddeford-based-hyperlite-mountain-gear-adds-ny-investor))"
Igneous,"Igneous Gear, based in San Francisco, specializes in ultralight backpacking accessories designed for hiking and backpacking enthusiasts. ([igneousgear.com](https://igneousgear.com/?srsltid=AfmBOooeM14Qc_XjAkqtp3pFYWrp101mHNWt-5SXX3Xfz_FAZTW8f4b7&utm_source=openai))",Hiking,,Not Available,Private,"Igneous Gear LLC, based in Fairview Park, Ohio, is a limited liability company that owns the ""IGNEOUS GEAR"" trademark. ([trademarkelite.com](https://www.trademarkelite.com/trademark/trademark-detail/88450535/IGNEOUS-GEAR)) Igneous Skis, located in Jackson Hole, Wyoming, is owned by Mike Parris. ([jacksonholemagazine.com](https://jacksonholemagazine.com/feature-board-makers/))",Independent,"## [Igneous Skis](https://www.google.com/maps/search/Igneous+Skis+Jackson%2C+Wyoming)


Jackson, Wyoming","Igneous Gear manufactures ultralight backpacking equipment in San Francisco, California, with products field-tested in the Sierra Nevada mountains. ([igneousgear.com](https://igneousgear.com/))","Igneous Solutions emphasizes Environmental, Social, and Governance (ESG) factors, aiming to develop an environmentally sustainable business and support assets that mitigate greenhouse gases. ([igneous-solutions.com](https://igneous-solutions.com/esg-factors/)) However, specific environmental and sustainability policies related to hiking are not detailed.","There is no record of a company named ""Igneous"" in the hiking industry. However, a Seattle-based data storage startup named Igneous was acquired by Rubrik in 2020. ([geekwire.com](https://www.geekwire.com/2020/cloud-data-giant-rubrik-acquires-tech-ip-assets-seattle-startup-igneous/))"
Itacate,Itacate Foods specializes in producing dehydrated Latin cuisine meals tailored for backpacking and outdoor activities. ([sportswirewomen.com](https://sportswirewomen.com/itacate-foods-a-latin-cuisine-backpacking-meals-brand-diversifies-rei-co-op-shelves-with-retail-partnership/)),Hiking,2021,Not Available,Private - Family Owned,"Itacate Foods, a Latin-inspired backpacking meal company, was founded in 2021 by Martha Y. Díaz and is a women- and BIPOC-owned venture. ([outdoorsportswire.com](https://www.outdoorsportswire.com/itacate-foods-a-latin-cuisine-backpacking-meals-brand-diversifies-rei-co-op-shelves-with-retail-partnership/))",Independent,"Fair Oaks, California","Itacate Foods, founded by Martha Y. Díaz in 2021, is based in Sacramento, California, and specializes in dehydrated Latin cuisine meals for backpacking. ([sportswirewomen.com](https://sportswirewomen.com/itacate-foods-a-latin-cuisine-backpacking-meals-brand-diversifies-rei-co-op-shelves-with-retail-partnership/)) Their products are available through retailers like REI. ([rei.com](https://www.rei.com/b/itacate/c/camping-and-hiking/f/f-vegan))",,"As of October 2022, Itacate Foods, founded by Martha Y. Díaz, has not been acquired and remains an independent company. ([rei.com](https://www.rei.com/blog/video/martha-diaz-itacate))"
Jereko Gear,"Jereko Gear specializes in sustainable hiking equipment, offering 3D-printed and upcycled gear made from plant-based plastics, as well as refurbished and repaired items. ([jerekogear.com](https://www.jerekogear.com/))They also provide consignment services for used outdoor gear, emphasizing environmental responsibility. ([jerekogear.com](https://www.jerekogear.com/consignment))",Hiking,2021,Not Available,Private,"Jereko Gear LLC, founded by Jeremy Kocsis in 2021, is a Limited Liability Company based in Varysburg, New York. ([thebostonoutdoorexpo.com](https://thebostonoutdoorexpo.com/exhibitor/jereko-gear), [bizprofile.net](https://www.bizprofile.net/ny/varysburg/jereko-gear-llc))",Independent,"Varysburg, New York","Jereko Gear, founded by Jeremy Kocsis in 2021, manufactures its 3D-printed and upcycled hiking gear in Upstate New York, utilizing plant-based plastics to promote sustainability. ([jerekogear.com](https://www.jerekogear.com/))","Jereko Gear emphasizes sustainability by utilizing plant-based plastics in production, sourcing used equipment, and offering repair services to extend gear lifespan. ([jerekogear.com](https://www.jerekogear.com/about), [jerekogear.com](https://www.jerekogear.com/rep))","Jereko Gear, founded in 2021 by Jeremy Kocsis, has no publicly available information regarding any acquisitions. ([thebostonoutdoorexpo.com](https://thebostonoutdoorexpo.com/exhibitor/jereko-gear))"
JoGo,"JoGo is a company that produces a portable coffee brewing straw designed for outdoor enthusiasts, including hikers. Their product allows users to brew and drink coffee directly from the same device, making it convenient for on-the-go use.",Hiking,,Not Available,,"The ""JOGO"" trademark, registered in 2016 for shoe and boot fasteners, is owned by Householdsupplies.com LLC. ([trademarks.justia.com](https://trademarks.justia.com/868/28/jogo-86828565.html)) No ownership information specific to a hiking-related company named ""JoGo"" is available.",,,"JoGo offers a Hiking Sling Pack priced at $24.00, available in colors like Teal Blue, Green, and Burnt Orange. ([shopupsidedown.com](https://shopupsidedown.com/products/hiking-sling-pack)) However, specific information about JoGo's main manufacturing location is not available.","After thorough research, no specific information was found regarding the environmental and sustainability policies of JoGo in hiking.","As of July 18, 2025, there is no publicly available information regarding the acquisition history of a company named JoGo in the hiking industry."
Jolly Gear,"Jolly Gear specializes in designing and producing colorful, functional hiking apparel, notably the Triple Crown Button Down sun shirts tailored for thru-hikers. ([garagegrowngear.com](https://www.garagegrowngear.com/blogs/brand-bios/jolly-gear-thru-hiker-sun-shirt))",Hiking,2021,Not Available,Private,"Jolly Gear, LLC, based in Logan, Utah, is owned by its founder, Bennett ""Jolly"" Fisher. ([thetrek.co](https://thetrek.co/bennett-jolly-fisher-founder-of-jolly-gear-on-triple-crowning-and-the-evolution-of-his-signature-shirts-bpr-280/))",Independent,"Logan, Utah","Jolly Gear is a clothing brand for thru-hikers founded by Bennett ""Jolly"" Fisher in Logan, Utah. ([rocksteppers.com](https://rocksteppers.com/en-en/collections/jolly-gear)) Specific information about the main manufacturing location of Jolly Gear's hiking apparel is not publicly available.","Jolly Gear's hiking apparel, such as the Triple Crown Button Down Sun Dress, is made from 86% polyester and 14% elastane, offering quick-drying and stretchy properties with UPF 30 sun protection. While the brand currently uses virgin polyester, there is an interest in incorporating recycled polyester in the future, though sourcing such materials can be challenging for small brands. ([garagegrowngear.com](https://www.garagegrowngear.com/en-is/blogs/gear-gab/jolly-gears-hiking-dress-an-all-in-one-ultralight-trail-outfit))","As of July 18, 2025, there is no publicly available information indicating that Jolly Gear has been involved in any acquisitions. The company, founded by Bennett ""Jolly"" Fisher, remains independently owned and operated. ([gearjunkie.com](https://gearjunkie.com/apparel/interview-jolly-gear-thru-hiker))"
Joshua Tree Skin Care,"Joshua Tree Skin Care specializes in organic, natural personal care products designed for outdoor enthusiasts, including hikers. Their offerings include healing salves, lip balms, and lotions aimed at protecting and repairing skin exposed to outdoor elements. ([climbing.com](https://www.climbing.com/news/joshua-tree-skin-care-celebrates-10-years-of-healing-hands-starting-april-22-2011/))",Hiking,2001,Not Available,Private,"Joshua Tree Skin Care, founded in 2001 in Joshua Tree, California, is owned by Joshua Tree Products, LLC, a limited liability company based in Brighton, Michigan. ([trademarkelite.com](https://www.trademarkelite.com/trademark/trademark-detail/77558494/JOSHUA-TREE)) In 2017, MYM Nutraceuticals acquired the 'Joshua Tree' brand, including its domains and trademarks, to expand its CBD product line. ([prnewswire.com](https://www.prnewswire.com/news-releases/mym-nutraceuticals-acquires-cbd-brand-joshua-tree-630325283.html))",Independent,"## [Joshua Tree Skin Care](https://www.google.com/maps/search/10489+E+Grand+River+Ave%2C+Suite+F%2C+Brighton%2C+MI+48116)


Brighton, Michigan","Joshua Tree Skin Care was founded in Joshua Tree, California, in 2001 and relocated to Brighton, Michigan, in 2007, where all products are handcrafted. ([faire.com](https://www.faire.com/brand/b_7787be37))","Joshua Tree Skin Care utilizes organic ingredients and supports the Joshua Tree National Park Association through a portion of its profits. ([mojavedesertskinshield.com](https://mojavedesertskinshield.com/?srsltid=AfmBOopiXfJr34p6YwV3NpcrThe8Kponu8vKC7l_fvhSdNCTpUwspA6K&utm_source=openai)) However, specific details about their environmental and sustainability policies are not readily available.","As of June 23, 2017, MYM Nutraceuticals Inc. acquired the brand 'Joshua Tree,' including its domains and trademarks, with plans to rebrand its CBD product line under this name. ([prnewswire.com](https://www.prnewswire.com/news-releases/mym-nutraceuticals-acquires-cbd-brand-joshua-tree-630325283.html)) However, this 'Joshua Tree' brand is distinct from Joshua Tree Skin Care, a company based in Pinckney, Michigan, known for its organic and natural products designed to support an active outdoor lifestyle. ([prlog.org](https://www.prlog.org/11550404-joshua-tree-skin-care-celebrates-its-10-year-anniversary-at-outdoor-retailer-summer-market-in-salt.html)) There is no publicly available information indicating that Joshua Tree Skin Care has been involved in any acquisitions."
Kahtoola,"Kahtoola specializes in designing and manufacturing outdoor equipment, including traction systems, gaiters, and hiking crampons, to enhance safety and performance in mountaineering and other outdoor activities. ([outdoorindustry.org](https://outdoorindustry.org/press-release/a-near-death-experience-leads-to-25-years-of-outdoor-innovation-and-philanthropy-at-kahtoola/))",Mountaineering,1999,Not Available,Private,"Kahtoola is owned and operated by its founder, Danny Giovale. ([outdoorindustry.org](https://outdoorindustry.org/press-release/a-near-death-experience-leads-to-25-years-of-outdoor-innovation-and-philanthropy-at-kahtoola/))",Independent,"## [Kahtoola Headquarters](https://www.google.com/maps/search/Kahtoola+431+S+River+Run+Rd+Flagstaff%2C+AZ+86001)


Flagstaff, Arizona","Kahtoola is headquartered in Flagstaff, Arizona, where its products are designed, developed, and tested. ([kahtoola.com](https://kahtoola.com/our-mission/)) Some production also occurs at this location. ([outdoorindustryjobs.com](https://www.outdoorindustryjobs.com/CompanyProfile/4403))","Kahtoola achieved carbon neutrality in 2022 by offsetting 100% of its carbon footprint through projects like the Northern Great Plains Regenerative Grazing Project, Medford Spring Grassland Conservation Project, and the Sky Wind Project in India. ([outdoorindustry.org](https://outdoorindustry.org/press-release/investing-in-a-green-future-kahtoola-achieves-carbon-neutrality/)) The company also donates 1% of annual sales to support environmental initiatives and has implemented sustainable practices at its Flagstaff, Arizona headquarters, including solar panels and energy-efficient designs. ([outdoorindustry.org](https://outdoorindustry.org/press-release/kahtoola-awarded-sustainable-business-certification-by-the-sustainability-alliance/))","Kahtoola, founded in 1999 by Danny Giovale, remains independently owned and has not been involved in any acquisitions. ([outdoorindustry.org](https://outdoorindustry.org/press-release/a-near-death-experience-leads-to-25-years-of-outdoor-innovation-and-philanthropy-at-kahtoola/))"
Karen's Naturals,"Karen's Naturals specializes in producing all-natural, freeze-dried fruits and vegetables, offering lightweight, nutrient-rich snacks ideal for hikers and backpackers. ([shopkarensnaturals.com](https://www.shopkarensnaturals.com/))",Hiking,1985,Not Available,Private - Family Owned,"Karen's Naturals is owned by Just Tomatoes, Inc., a corporation based in Westley, California. ([furm.com](https://furm.com/trademarks/karens-naturals-86255184)) The company is led by CEO Megan Devlin, daughter of the original founders, Karen and Bill Cox. ([shopkarensnaturals.com](https://www.shopkarensnaturals.com/pages/our-story))",Independent,"## [Karen's Naturals](https://www.google.com/maps/search/2103+W+Hamilton+Rd%2C+Westley%2C+CA+95387)


Westley, California","Karen's Naturals' main manufacturing facility is located at 2103 West Hamilton Road, Westley, California 95387. ([chamberofcommerce.com](https://www.chamberofcommerce.com/united-states/california/westley/food-manufacturer/32498892-just-tomatoes-etc-dba-karen-s-naturals))","Karen's Naturals emphasizes natural processes by offering products free from artificial preservatives and sweeteners, sourcing produce globally at peak ripeness, and using low-temperature drying methods to preserve nutritional integrity. ([shopkarensnaturals.com](https://www.shopkarensnaturals.com/pages/our-process)) However, specific environmental and sustainability policies are not detailed on their website.","Karen's Naturals, originally known as Just Tomatoes, was founded in 1985 by Bill and Karen Cox in California's Central Valley. In 2016, the company rebranded to Karen's Naturals as a tribute to Karen's contributions. As of the latest available information, the company remains family-owned and operated, with no records of acquisitions or mergers. ([shopkarensnaturals.com](https://www.shopkarensnaturals.com/pages/our-story))"
Katabatic Gear,"Katabatic Gear specializes in designing and manufacturing ultralight backpacking equipment, including quilt-style sleeping bags, backpacks, bivy sacks, and accessories, catering to weight-conscious hikers and outdoor adventurers. ([route285.com](https://route285.com/brands/katabaticgear-com/))",Hiking,2009,Not Available,Private,"Katabatic Gear is a privately owned company founded in 2009 by Aaron Martray, who continues to serve as the owner. ([companyweek.sustainment.com](https://companyweek.sustainment.com/article/katabatic-gear/))",Independent,"## [Katabatic Gear](https://www.google.com/maps/search/Katabatic+Gear%2C+312+F+Street%2C+Unit+A%2C+Salida%2C+CO+81201)


Katabatic Gear is headquartered in Salida, Colorado.","Katabatic Gear manufactures its ultralight backpacking products in Colorado, USA. ([gearjunkie.com](https://gearjunkie.com/outdoor/backpacking/ultralight-hiking-katabatic-gear-helios-backpack-review))","Katabatic Gear emphasizes sustainability by designing durable ultralight gear, donating products to those in need to prevent landfill waste, and recycling packaging and office materials. ([katabaticgear.com](https://katabaticgear.com/pages/sustainability?srsltid=AfmBOoriEqEa8PeV43Twh2XN0d66NLjjOHOH9DTh8-R99Y_ZNuEK_Pht&utm_source=openai)) They also use Bluesign® approved materials, recycled shell fabrics, and RDS certified down in their products. ([pahomepage.com](https://www.pahomepage.com/business/press-releases/cision/20241127SF67749/katabatic-gear-launches-ultralight-eco-friendly-down-jackets-for-outdoor-adventures/))","As of July 2025, there is no publicly available information indicating that Katabatic Gear has been acquired by another company. The company, founded in 2009 by Aaron Martray, remains privately owned and operates out of Salida, Colorado. ([companyweek.sustainment.com](https://companyweek.sustainment.com/article/katabatic-gear/), [milled.com](https://milled.com/katabaticgear.com/the-2024-cottage-gear-giveaway-is-almost-over-CV9OPMblddOnnC7W))"
